t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,3.0683865307419254,0.6918172589693323,0.27951280449718924,0.7484200022175408,0.0,0.030865874732368955
3,2.97291020548376,0.5994654766166835,0.29424318134499267,0.7733673356247921,,0.06629642108008825
5,3.0607258458605697,0.7394974729308408,0.3038205288361441,0.759507705954097,,
14,2.9553309496507536,0.5928047490987203,0.300333125130127,0.7384410688546402,,
25,2.9317682957314664,,0.3027691026441807,0.7317884466127065,,
37,3.0229223819407824,0.6119543407128644,0.3372059129710598,0.745093691096574,4.44825e-5,
51,2.8824818683684676,0.49955456384723623,0.331417863835103,0.7761392615589311,7.29403e-5,
65,2.781909171694495,0.43939075848232495,0.3135123880907766,0.7484200022175408,,
84,2.711527637331888,,,,,
100,,0.5330361603018001,,,0.000199994,
108,2.5804412231936507,0.38848440948021185,,,,
134,2.2989150857432237,0.7439446667821792,,,,
150,2.432388408012915,0.6481156490682649,,,,
170,2.4403877758048154,0.4421153871964165,,,,
