t,NO3-,DOC,SO4-2
0,2.811148796304808,0.3758831635163646,0.20237351655215488
5,2.0799162646823075,0.5434495891996304,0.22605663127212158
9,2.0544344076032703,0.4762840566328357,0.23110555902560903
16,2.0383872887465344,0.3865669254380336,0.25275869248386423
23,1.9883912400471577,0.7064362344808438,0.26483447845096814
30,1.9729892314962203,0.6285551219035251,0.27961690610035395
56,1.9222674337028203,0.6536419505712598,0.3108994378513429
72,1.9632319381210195,1.0616877087413805,0.34244222361024357
83,1.8515472164296691,,0.3433270872371435
99,1.7595383590651705,,0.35779721007703513
126,1.6252747766708762,,0.3714865708931917
150,1.5002846549224336,,0.41692692067457837
