Sample,Facies,Time,NO3_corrected,DOC_corrected,SO4_corrected
A301,T1,0.0,0.012522666219390188,0.0037094312044300124,
A301,T1,3.0,0.012658072184617666,0.0016541823056752565,
A301,T1,5.0,0.012692254070959627,0.0024105305270215012,
A301,T1,14.0,0.012244395201024435,0.0018585360983048114,
A301,T1,25.0,0.012218859584753248,,
A301,T1,37.0,0.01216445528229758,0.0021956750962249024,
A301,T1,51.0,0.011932573966824485,0.0019870416750341915,
A301,T1,65.0,0.011615502251524565,0.0018604414758455828,
A301,T1,84.0,0.011330650212053135,,
A301,T1,100.0,,0.0019820435869203797,
A301,T1,108.0,0.010868082229821384,0.0017456636563324193,
A301,T1,134.0,0.010715943716037258,0.0023398431100244504,
A301,T1,150.0,0.010610217304809185,0.0021074593402830447,
A301,T1,170.0,0.010422651483398297,0.001980311941513474,
A302,T2,0.0,0.00867014516109643,0.0033506190932982146,
A302,T2,3.0,0.00904034319087097,0.0015832164415470907,
A302,T2,5.0,0.008697579160017888,0.0020232020546511013,
A302,T2,14.0,0.008354654173499686,0.0016434495268350848,
A302,T2,25.0,0.007760620465432485,,
A302,T2,37.0,0.007560434539534693,0.0017324673206185028,
A302,T2,51.0,0.007225932899491072,0.0012172005364784212,
A302,T2,65.0,0.006850970582029,0.0013977657626633498,
A302,T2,84.0,0.006692676050572942,,
A302,T2,100.0,,0.0015926983860768177,
A302,T2,108.0,0.0063970899135626265,0.0014368787968079954,
A302,T2,134.0,0.006391295509618329,0.0018063901648076586,
A302,T2,150.0,0.006407949055769347,0.0017541900169187985,
A302,T2,170.0,0.006400180262332919,0.0016517058956739506,
A303,T3,0.0,0.019533970766928855,0.00423193589147482,
A303,T3,3.0,0.019030658060575318,0.002444226339238437,
A303,T3,5.0,0.01903782310958855,0.0034982010352053437,
A303,T3,14.0,0.018635300891809533,0.0026869531681284853,
A303,T3,25.0,0.01843577986625181,,
A303,T3,37.0,0.01888925070040705,0.0030395008588762723,
A303,T3,51.0,0.018317838041601874,0.0018588938418229502,
A303,T3,65.0,0.018032029354356237,0.0021757861223772566,
A303,T3,84.0,0.017854336138828107,,
A303,T3,100.0,,0.0026827202837655675,
A303,T3,108.0,0.017329581596811472,0.002326026058259648,
A303,T3,134.0,0.017039780953687036,0.003062077399378248,
A303,T3,150.0,0.017315840056382526,0.0029256066152985615,
A303,T3,170.0,0.01734815954532435,0.0027342922416403893,
A306,T4,0.0,0.01756500339601818,0.0039603134681607585,
A306,T4,3.0,0.017052608090518184,0.0034646867292377767,
A306,T4,5.0,0.017492471763246392,0.0041660992331369546,
A306,T4,14.0,0.01700226294366585,0.0034838074943829055,
A306,T4,25.0,0.016901099492134027,,
A306,T4,37.0,0.017259845448592874,0.0035624493577434725,
A306,T4,51.0,0.016757374917028243,0.003160303465558756,
A306,T4,65.0,0.016433527235430477,0.002966573859732566,
A306,T4,84.0,0.01623207740541228,,
A306,T4,100.0,,0.003219294392115305,
A306,T4,108.0,0.015919408558332408,0.0029089865191530406,
A306,T4,134.0,0.015415783983286923,0.003544872489281784,
A306,T4,150.0,0.01560680126023818,0.0034077289934479177,
A306,T4,170.0,0.015615387343735748,0.0031866195889343053,
A308,T8,0.0,0.08029903013041442,0.03613950319489344,
A308,T8,3.0,0.07787381857455353,0.035770504274432936,
A308,T8,5.0,0.07942235210443047,0.03197912137071198,
A308,T8,14.0,0.07448658627517073,0.032847889066792355,
A308,T8,25.0,0.06513474472716403,0.02780238797193527,
