sample,Facies,integral_no3,integral_doc,weight,k_no3,doc_ss,k_no3_weight (mol/L/gs/s),,,,facies,avg_kno3,avg_weight
A301,C1,-0.231588875,0.408704874,0.012135,7.40E-06,0.000362983,6.10E-04,,,,C1,0.000362961,0.01473
A302,T1,0.818800115,0.246862343,0.022545,3.49E-06,0.000316054,1.55E-04,,,,T1,0.000146446,0.02177
A303,T2,0.218441039,0.567945948,0.012605,3.17E-06,0.000267376,2.51E-04,,,,T2,9.52452E-05,0.013781667
A306,T4,0.094341183,0.638193694,0.013975,4.32E-06,0.000439391,3.09E-04,,,,T4,0.000271526,0.011465
A308,T9,5.499910703,3.765656898,0.005145,3.69E-06,0.000581471,7.18E-04,,,,T8,0.000580039,0.00633
A310,T8,10.51318645,8.254806583,0.005565,4.26E-06,0.000598271,7.66E-04,,,,T9,0.001109793,0.003685
A402,C1,0.608492098,0.588223614,0.017325,2.01E-06,0.000260544,1.16E-04,,,,T6,0.000561176,0.007135
,,,,,,,,,,,T7,0.001218329,0.006485
A405,T4,1.836891201,1.117821143,0.013135,1.65E-06,0.000373076,1.26E-04,,,,,,
A406,T9,13.47020837,4.5772875,0.003815,2.30E-06,0.000536637,6.03E-04,,,,,,
A502,T1,-0.185460435,0.49733073,0.020995,3.07E-06,0.000309951,1.46E-04,,,,,,
A503,T6,1.969941233,2.070649615,0.003345,2.53E-06,0.000410201,7.55E-04,,,,,,
A504,T8,2.180452192,0.521199238,0.007095,2.80E-06,0.000666156,3.94E-04,,,,,,
A507,T9,5.926002528,6.470870768,0.003555,5.75E-06,0.000687102,1.62E-03,,,,,,
A508,T2,0.345498076,0.33793728,0.013625,1.48E-06,0.000645757,1.08E-04,,,,,,
A509,T7,3.960998463,0.66083801,0.005765,1.96E-06,0.000639286,3.41E-04,,,,,,
A510,T6,14.90338886,7.280383855,0.005875,2.13E-06,0.000418621,3.62E-04,,,,,,
A603,T7,0.507958299,1.13090002,0.008975,5.72E-06,0.000386103,6.37E-04,,,,,,
A604,T7,0.724311075,10.35435624,0.004935,1.70E-05,0.000877937,3.45E-03,,,,,,
A904,T7,1.370593178,1.050737692,0.006265,2.78E-06,0.000425132,4.44E-04,,,,,,
A905,T4,0.634139297,0.784234601,0.007285,3.04E-06,0.000501728,4.18E-04,,,,,,
A906,T6,4.629890123,3.560867064,0.012185,6.90E-06,0.000539798,5.66E-04,,,,,,
A907,T2,0.231566571,0.199779975,0.015115,1.24E-06,0.000607703,8.20E-05,,,,,,
,,,,,,,,,,,,,
