sample,k_no3
A301,7.401203898031048e-6
A302,3.4902485671568685e-6
A303,3.1655192587526e-6
A306,4.317670764458767e-6
A308,3.6921253003757778e-6
A310,4.261129932177427e-6
A402,2.01e-6
A403,0.00024887915548564533
A405,1.649063698790252e-6
A406,2.3006069470536764e-6
A502,3.074634442981496e-6
A503,2.5265809967585068e-6
A504,2.7980997675491756e-6
A507,5.7468147971683105e-6
A508,1.4776532787720983e-6
A509,1.964226722972303e-6
A510,2.1269788884203822e-6
A603,5.7151258412247015e-6
A604,1.7035950998189796e-5
A904,2.780100317797375e-6
A905,3.0415207757245796e-6
A906,6.898641458463641e-6
A907,1.2400155242401361e-6
A908,0.0005000050000000001
