sample,r_no3,c₀,R²,t_zeroorder
A301,6.643282374915323e-6,0.0028888213005892906,0.9837702690124213,0.0
A302,7.118242216056418e-6,0.0023564174254191994,0.8807605268422385,0.0
A303,3.578991348692013e-6,0.0030066570304212066,0.8537160291503736,0.0
A306,4.256655561104177e-6,0.0030570173834040654,0.9133514435885821,0.0
A308,3.478385067915703e-6,0.001878330822536063,0.8896796967247943,65.0
A310,4.091694782436054e-6,0.0016430538673954224,0.932307420901188,65.0
A402,2.9827722191945188e-6,0.0005430912093717703,0.8949963838513406,10.0
A403,5.019661997769568e-6,0.0006868574715319702,0.720798913670701,20.0
A405,1.797695820229706e-6,0.002217974601471786,0.5815823553007151,50.0
A406,2.8192432208924366e-6,0.0009498658740996753,0.9333396189006049,30.0
A502,2.6781060098100353e-6,0.0024028065253989344,0.732642805778622,0.0
A503,4.48994384879435e-6,0.003049855920034846,0.7790251813239407,0.0
A504,3.247252834641286e-6,0.002235039336088827,0.8725628538092223,30.0
A507,4.277303779273057e-6,0.0023812930023717253,0.7424761480330688,65.0
A508,3.7545351797626435e-6,0.0027695881148090957,0.6067594896739704,0.0
A509,1.7694087317880527e-6,0.0024823672984898137,0.8293355269571968,50.0
A510,1.7022334651180513e-6,0.0012980796303208913,0.787351621328127,65.0
A603,5.4466169182595184e-6,0.002077195612999961,0.9568215950859907,20.0
A604,3.9191782655106795e-6,0.0015086494781725384,0.9624609601056388,105.0
A904,3.2225057697024056e-6,0.0022107474441920715,0.8691308888918737,10.0
A905,3.105379679947622e-6,0.0026456023162226496,0.7315642281038814,30.0
A906,6.342465855949505e-7,0.0010118840668733955,0.31914427988310956,80.0
A907,1.901148553180244e-6,0.0027520218624565553,0.5478121365925372,0.0
A908,1.527398125676187e-6,0.00023879107312494476,0.683988991419783,100.0
