sample,r_no3,c₀,R²,t_zeroorder,s0,r_so4,R²_so4
B1,3.4549350048547195e-7,0.002195363903022005,0.20714715638552772,1.0,0.00024312929419113055,1.907584373193781e-7,0.5427384753318241
B2,1.4277129993775088e-6,0.002027887180139522,0.7418271418611675,1.0,0.00020664168228190716,1.007871449692025e-6,0.9285495884204741
B3,2.0375211975202566e-6,0.002038363805894201,0.8684761367067815,1.0,0.0002157505725588174,6.255016628896233e-7,0.7883782047652892
B4,2.4272060606869774e-6,0.002165899484151282,0.8489626477318301,1.0,0.00020768269831355406,-4.3482793495647546e-8,-0.8479898919272082
B5,1.7482001998510856e-6,0.002164825734544748,0.745949242287155,1.0,0.0001906620861961274,-1.8159298562680655e-8,-0.6418408932564994
B6,1.9864290508868256e-6,0.002229251406502852,0.8837664182613665,1.0,0.00021299188007495312,7.959842697569382e-7,0.9181439946937411
B7,9.92907788767062e-6,0.0022327646556013028,0.9891940311706093,1.0,0.00021533416614615865,1.0984590269829177e-6,0.970329173161515
B8,2.9065714284258136e-6,0.0021531631118010546,0.933547633724957,1.0,0.00021101394961482408,1.3363999582539427e-6,0.9665391959202285
B9,8.700629079584415e-7,0.002160644959950407,0.5660060113648987,1.0,0.00019784509681449098,2.6111730196499933e-7,0.76267162780874
B10,1.1523244102351937e-6,0.002285845575140593,0.6931144897680389,1.0,0.00019748074120341452,3.1495858020548473e-7,0.7291706737769957
B11,5.8282572788893355e-6,0.0022226448100714003,0.9919533976641866,1.0,0.00022912762856547992,1.0324909030449031e-6,0.8985840085864354
B12,4.052567130930671e-6,0.0021717061718686077,0.9796417139314971,1.0,0.00022652508848636273,6.829590331497596e-7,0.9620773348292715
B13,4.016566656274017e-6,0.002147912824010081,0.9784131533843891,1.0,0.00021429315011451178,5.609031497761897e-7,0.9777392793223775
B14,3.6436674146648532e-6,0.0021085342101725695,0.9330791339917796,1.0,0.00020237351655215489,1.560010687404686e-6,0.8664387695267688
B15,1.5449371782983663e-6,0.002414847226502222,0.7833982568181326,1.0,0.00020351863418696648,5.978626768675089e-7,0.902911204920579
B16,1.887807836236629e-6,0.0023035623458120993,0.6379314885478061,1.0,0.00019826150322714973,6.077534232595996e-7,0.9415347369304317
