sample,facies,r_no3,c₀,R²,t_zeroorder,integral_no3,c_quick,t_quick,weight,TOC,S_tot,c₀so4,r_so4,R²so4,decrease_125,decrease_pct_125,doc_decrease_125,doc_decrease_pct_125
A301,T1,1.2343130935294093e-5,0.012414440991023202,0.9553675092638595,50.0,0.008838210873164165,0.00010822522836698677,81.66497781085016,0.018000000000000002,1.3,0.051,,,,0.0017540591716584258,14.007074379595199,0.0015752655976066497,42.46649986999027
A302,T2,1.31497716549357e-5,0.00816587637427016,0.8093237131342104,3.0,0.00970675646564273,0.0005042687868262695,19.24917171006045,0.022545000000000003,0.65,0.179,,,,0.0022768438962666136,26.26073559279004,0.0016721367097212087,49.90530594974986
A303,T3,1.1338397599919511e-5,0.018890362675616428,0.8628759008724181,3.0,0.002229523752784207,0.0006436080913124267,3.464101497291353,0.012605,2.9,0.775,,,,0.0023938742060064383,12.254928783139594,0.001424645494791472,33.6641558692182
A306,T4,8.897524424218831e-6,0.0169248542753426,0.8048957215720534,51.0,0.023975861164339918,0.0006401491206755802,37.45355635111556,0.013975,2.06,0.406,,,,0.0019748878290616646,11.24331026038602,0.0006355553531543086,16.04810725877899
A308,T8,3.535008076862697e-5,0.05655670963080428,0.8398408761417879,51.0,0.6001682430572357,0.023742320499610142,25.27841552248824,0.003,40.1,3.422,,,,0.02870774356914968,35.7510464603684,0.010437413231517943,28.880898487261895
A310,T7,1.9911182031196424e-5,0.029204495564575734,0.9145686485169414,51.0,0.5578885544620547,0.013749533673617007,40.5750891415719,0.00556500000000003,24.6,1.802,,,,0.016229660090429747,37.78378973583945,0.0011077396600140156,6.6121196949138925
A402,T1,6.342171180798241e-6,0.0026160614228842743,0.7996831211424762,14.0,0.016950037497520887,0.0028717513833823962,5.902334580773093,0.017325,0.89,0.108,,,,0.003698219007009119,67.38967121447784,0.0052305054876333,70.2801864308408
A403,T2,2.458539006602799e-6,0.0031529106869534044,0.43542951014575215,51.0,0.1299134031342028,0.01034327614479053,12.560179319937685,0.019115,0.53,0.133,,,,0.010696508507569131,79.25578269567391,0.003877312088769339,60.9887652140931
A405,T4,3.162511800490344e-6,0.014626370647539421,0.5025287239731103,51.0,0.11796229043576378,0.0047603359385136775,24.780244915361,0.013135,3.49,0.567,,,,0.00523935786435145,27.025517929490263,0.0024011205151612688,39.48022553176095
A406,T8,2.516758452375115e-5,0.03142879721940347,0.8630328486675993,25.0,0.7634211194715583,0.036694174679402954,20.804967713310614,0.00381500000000003,29.5,2.34,,,,0.03998819597293797,58.70001683475967,0.012619380627532737,40.6562941174817
A502,T2,4.268379320331661e-6,0.008956004050833478,0.6557259186152439,14.0,0.0025381784781280253,0.0009979603961013071,2.54336593720936,0.020995,0.45,0.303,,,,0.00164448784779247,16.52093350904897,0.0017831824638954688,45.440476096645796
A503,T5,1.2967408633968996e-5,0.03592913169028978,0.7055290293714349,37.0,0.09080696937429655,0.004473379470966772,20.299411208830815,0.00634500000000001,19.6,1.036,,,,0.006607979725844378,16.355368851877238,0.0027153817876684264,26.902562658686318
A504,T7,1.6390439363944065e-5,0.026700895047797102,0.843371549855384,14.0,0.11156730476415155,0.007998674508488714,13.948224127103694,0.00709500000000001,20.1,1.622,,,,0.01019783752558771,29.388945326961196,0.0025817876156868456,20.6856909155405
A507,T8,4.088155257507281e-5,0.05783377812387819,0.6950395368970028,51.0,0.46442069556295973,0.011988751373183365,38.7380371071656,0.0035550000000000204,30.8,2.19,,,,0.01784835307322729,25.562455559531728,0.007931619102199437,24.901807190665366
A508,T3,2.48863039674541e-6,0.014933521393324312,0.4753063084039344,30.0,0.03983392608740105,0.003023508667380718,13.174735206533871,0.013625,4.9,0.533,,,,0.0035001812536500105,19.491983038494652,-0.0009048025887267276,-23.747749433105504
A509,T6,1.3388734311827338e-5,0.04522216413710478,0.8040727292190533,50.0,0.27360058696601897,0.009997382646945052,27.367221664724855,0.00476500000000002,25.4,2.517,,,,0.011955007249061206,21.64995539679875,0.002806875621878627,17.506855606418892
A510,T5,6.506437720070512e-6,0.0270999281904145,0.5856570969488721,65.0,0.7849469421635189,0.01843003558767118,42.59063627031796,0.0058750000000000096,11.2,0.986,,,,0.019366899075397015,42.536601104696295,0.008325605049476917,40.79711974552405
A603,T6,2.04763460602371e-5,0.018913272079320108,0.9103373980194792,14.0,0.05197523025652312,0.006751695696544047,7.698100239192859,0.00897500000000002,8.5,0.984,,,,0.00958383191773128,37.34207656689173,0.004299119965071203,42.91066559955254
A604,T6,1.6698965578309222e-5,0.035925241852078724,0.9543404487608286,100.0,1.0707774048950274,0.019334632427589336,55.38131686264144,0.00493500000000002,15.4,1.234,,,,0.021392816280371915,38.71311065983196,0.010390850190606434,36.48666065975149
A904,T6,1.895252892435308e-5,0.02890805398866691,0.8167333911997214,14.0,0.05702492648922053,0.006779468722205105,8.411415234123607,0.0062650000000000206,9.4,1.462,,,,0.009395248037903127,26.32642258197685,0.00440088311740639,34.83115787720544
A905,T4,1.5870324864868963e-5,0.02908965076045008,0.6929622287502644,37.0,0.035506393260114844,0.003108304927717652,11.423072731215683,0.00728500000000003,6.5,1.543,,,,0.005510547660828008,17.114588622323783,0.002210205899260188,23.829397308372588
A906,T5,2.020779791679852e-6,0.012039908608386636,0.41374177143362445,65.0,0.394421412032685,0.008496676341896848,46.42067040824013,0.012185000000000001,9.1,0.873,,,,0.008822185648015058,42.95838704133366,0.0033309013037936593,32.78608016248711
A907,T3,6.393495771516148e-6,0.014583464551465706,0.6409420760232674,3.0,0.0005212666135112377,0.0005060987045732487,1.029970258372384,0.015115,3.4,0.666,,,,0.0015335080757468318,10.16270683071699,0.0006001606303399367,13.613050091512704
A908,T7,2.588810382502141e-5,0.07245011972308826,0.6839889914197792,100.0,4.521183190753499,0.08633011445796435,52.37086987710346,0.0014750000000000201,30.5,2.632,,,,0.08980969006971207,56.56226074544305,0.02577735676971267,20.915914611246034
B1,T1,1.0959981439730157e-6,0.011486724269436399,0.37600310274202975,5.0,0.001039174382445815,0.0004944964686319064,2.1014798858338386,0.015339999999999998,1.2,,0.0012863742141992322,4.498310246407235e-7,0.6604820183527065,0.0007604554303720281,6.347061347061318,-0.00028276104957914794,-13.23720468759193
B2,T3,2.891390639687768e-6,0.009509373503806814,0.6948701351378055,0.0,0.0,0.0,0.0,0.01712,1.3,,0.0009653138002352118,2.704162967111642e-6,0.9131339396727651,0.0024018196083109584,20.9759838819963,-0.0007894577410003309,-60.019359091782896
B3,T3,3.679262008849054e-6,0.007782287496942514,0.8899044964648537,0.0,0.0,0.0,0.0,0.021,1.4,,0.0008109435697825945,1.315657603613521e-6,0.9330642081881547,0.002074780555190975,22.249858159922404,-0.0006274032625854544,-53.073137610943874
B4,T3,4.313496767383288e-6,0.007504168317668069,0.8708813336686367,0.0,0.0,0.0,0.0,0.02341,1.4,,0.000635850119010869,3.704456396336576e-7,0.22105371468094126,0.0031651078409650965,31.37986919354741,-0.000714855837145791,-75.13258886706109
B5,T3,3.4766886530199285e-6,0.00794900460131988,0.6913310685596443,0.0,0.0,0.0,0.0,0.0224,2.5,,0.0006122484354245226,4.201271282309649e-7,0.2805510301435131,0.0042334243834851034,36.06470009350354,-0.0007434187847295771,-60.97687749405169
B6,T3,1.0405062967834737e-5,0.02428914600803326,0.8947177372616109,0.0,0.0,0.0,0.0,0.007369999999999999,7.5,,0.0024281315809490454,4.409159020625224e-6,0.9039144351596464,0.006216438470360245,21.415806411622412,-0.0031504547852404152,-80.65574850763971
B7,T7,0.00011756907971713395,0.05076116404031092,0.9865662609673755,0.0,0.0,0.0,0.0,0.00342,,,0.005253651329840414,1.3321835509263078e-5,0.966559631743535,0.023545150743714258,39.41852723215226,-0.0036503150142817003,-30.13711661066384
B8,T7,3.255355771784649e-5,0.049409135649204385,0.9475100771754031,0.0,0.0,0.0,0.0,0.0035099999999999997,42.6,,0.005133426752826693,1.584944153047146e-5,0.9401724860980656,0.018765582849138242,29.273265352281364,-0.0053772393030424165,-44.67770057403049
B9,T2,2.203656821943189e-6,0.011290444038951868,0.577316740439134,0.0,0.0,0.0,0.0,0.015540000000000003,3.67,,0.0009807622200759228,9.736177600294127e-7,0.8453759247280804,0.0034993751619373133,24.257873701039166,-0.0015108493252850785,-96.32613347007661
B10,T2,2.7559176391045674e-6,0.010445939706610804,0.6953726726384631,0.0,0.0,0.0,0.0,0.01787,3.01,,0.0008355352791783876,1.0539835350369917e-6,0.8340030939155687,0.0040707395892340854,28.874908242002107,-0.001475199531534845,-112.12756101456267
B11,T6,2.8376273660502486e-5,0.020904516283224782,0.9831770911345993,0.0,0.0,0.0,0.0,0.008480000000000001,8.7,,0.002317956567073927,4.804752541071992e-6,0.9046340484705353,0.009168911273540279,34.5553755682343,-0.0022339390489205797,-61.190309395383714
B12,T6,2.2622454401223376e-5,0.023431260711677376,0.9684331575015022,0.0,0.0,0.0,0.0,0.007430000000000001,7.6,,0.0024849175168522226,3.9821414365609e-6,0.9443443942929418,0.00869427710171445,29.723516743018646,-0.002502162492309344,-65.72476742539529
B13,T6,1.7337432036624524e-5,0.01871714954841532,0.9896607436823364,0.0,0.0,0.0,0.0,0.00919,6.1,,0.0018835269975059125,2.6927642779454664e-6,0.9634338928929368,0.007555789134468152,31.408504360794993,-0.0017993802285511304,-49.712485823045036
B14,T7,4.223184978620381e-5,0.050708931974780574,0.9565669611576919,0.0,0.0,0.0,0.0,0.00334,44.0,,0.005501005913376273,1.8405328682863022e-5,0.8854304444725409,0.02208838855240946,32.804745991222276,-0.007658054647622061,-85.05935156744563
B15,T4,9.732824671544431e-6,0.030136761026532156,0.724878308063837,0.0,0.0,0.0,0.0,0.006499999999999999,9.2,,0.0024778536447645993,4.612718582413114e-6,0.8580528243361547,0.00977945870365663,25.35075081255842,-0.0029181047718955743,-81.48645160680105
B16,T4,1.866953832095882e-5,0.03883568352490119,0.5108055801021433,0.0,0.0,0.0,0.0,0.004780000000000001,20.05,,0.003338614552406351,5.795098866422741e-6,0.9116248825634266,0.007141490675023114,16.378446858707143,-0.003293085522227542,-68.70100324810426
