sample,doc_f,k_no3,k_doc,αˡ,Kd,K_doc,K_no3,k_n2o,k_n2o_doc,K_n2o,cost_f
A308,0.0004316459908540651,1.153053509490863e-5,1.5103989302472291e-6,0.010003600677772237,9.978966316011495e-5,9.450268992809532e-6,8.964513702951976e-6,1.0002072027077384e-8,6.068358700261986e-6,4.282838865553948e-8,1.4865508143697344e-5
A310,0.0005982705446689594,1.2472706788623701e-5,1.0365458721146832e-5,0.00999983918316621,6.874056908524558e-5,0.0008364176339343425,0.001,1.2513464805926792e-5,1.0e-8,4.151067755900955e-6,1.853276256344492e-5
A402,0.00019972784018628558,3.433162091555083e-7,7.839916206042113e-5,0.010034487825709097,9.864819502736883e-5,1.048187625526296e-5,5.616627992541978e-6,1.0000002869995551e-8,3.9234324018886426e-5,1.2157360561223544e-7,1.3877776054555826e-5
A403,0.00029393615061087947,7.597608797134109e-5,1.3593270279512284e-5,0.00997682623363278,8.278484983857424e-5,1.951835071763588e-5,1.1627284897104365e-8,1.0069585575760361e-8,6.39431681542052e-5,9.006456258747144e-6,1.1558411717275795e-5
A405,0.00033234095690722526,5.426072398313712e-6,1.110745419944919e-5,0.010004604373875105,0.00010632393152182145,1.5525933548343266e-6,1.1469188638823385e-5,2.5102980532398153e-6,5.349637033354892e-6,1.0e-8,3.4847371124800273e-6
A406,0.0004634166326122965,2.6686609672562e-5,2.366835355805017e-5,0.009993410964579695,9.960116935669601e-5,1.1312037659389283e-5,1.0413812375130223e-5,1.3292567958986395e-5,2.473740587904693e-5,4.561348244557248e-6,1.3527322763180826e-5
A502,0.0002895186334820951,1.018525224701795e-7,3.667007836171924e-5,0.010014640625677954,0.00012664381750245222,2.6691352916768325e-5,3.374317172765793e-5,1.0e-8,4.353031453532854e-5,4.434401952483728e-6,5.5063220966979744e-6
A503,0.00031965294827856745,3.489322105211276e-6,5.049321949143539e-6,0.010023468167561767,0.00011055102791450796,0.0003300250494943142,2.9117548895957873e-5,3.744497689580208e-6,1.0e-8,6.001369855775059e-6,4.090210768581693e-6
A504,0.00046549559190327874,8.022848102555468e-6,3.015111537640865e-6,0.010001106002446284,9.115381417435093e-5,9.996055122903197e-5,1.810104751171131e-5,5.826031592887777e-6,1.0e-8,4.179464523551412e-6,1.2476473661360211e-5
A507,0.0006871020869842516,7.077142869033097e-6,3.274014372949775e-6,0.01000953054732957,9.959392393996435e-5,5.2970437050696296e-5,1.252231764676662e-5,1.6936443599122643e-6,3.4514129172214977e-6,1.0e-8,1.0156362138001092e-5
A508,0.000571899224108684,6.262084054180469e-6,1.0e-8,0.00999895926750433,9.700040144519889e-5,6.721831823569556e-5,4.39999087008328e-6,3.332978768372119e-6,1.0e-8,1.775535842981585e-6,4.631284460352201e-6
A509,0.0004763706915239453,7.324818408311194e-6,1.09489616669937e-6,0.010002597864759212,9.893933917097869e-5,1.6671673637069066e-5,7.557973977541064e-6,3.09503195321036e-6,7.346536800083456e-7,1.0e-8,5.329488705838598e-6
A510,0.00041862128486584385,1.0e-6,1.0e-6,0.01,0.0001,1.0e-5,1.0e-5,1.0099999999999999e-6,1.0e-5,1.0e-7,8.016120946962273e-5
