Sample,Name,Short ID,Facies,Facies new,TOC %,dry weight (g),S_tot %
A301,,23,C1,T1,1.3,18.0,0.051
A302,,2,T1,T2,0.65,22.545,0.179
A303,,4,T2,T3,2.9,12.605,0.775
A306,,7,T4,T4,2.06,13.975,0.406
A308,,21,T9,T8,40.1,3.0,3.422
A310,,17,T8,T7,24.6,5.56500000000003,1.802
A402,,24,C2,T1,0.89,17.325,0.108
A403,,3,T1,T2,0.53,19.115,0.133
A405,,9,T4,T4,3.49,13.135,0.567
A406,,22,T9,T8,29.5,3.81500000000003,2.34
A502,,1,T1,T2,0.45,20.995,0.303
A503,,11,T6,T5,19.6,6.34500000000001,1.036
A504,,18,T8,T7,20.1,7.09500000000001,1.622
A507,,20,T9,T8,30.8,3.55500000000002,2.19
A508,,6,T2,T3,4.9,13.625,0.533
A509,,15,T7,T6,25.4,4.76500000000002,2.517
A510,,12,T6,T5,11.2,5.87500000000001,0.986
A603,,13,T7,T6,8.5,8.97500000000002,0.984
A604,,14,T7,T6,15.4,4.93500000000002,1.234
A904,,16,T7,T6,9.4,6.26500000000002,1.462
A905,,8,T4,T4,6.5,7.28500000000003,1.543
A906,,10,T6,T5,9.1,12.185,0.873
A907,,5,T2,T3,3.4,15.115,0.666
A908,,19,T8,T7,30.5,1.47500000000002,2.632
